2023-05-18 20:05:755 INFO  HomePage :62 - Enter Job title Tester
2023-05-18 20:05:331 INFO  HomePage :74 - Select the distance 1 mile
2023-05-18 20:05:565 INFO  HomePage :79 - Click on more search option link [[ChromeDriver: chrome on WINDOWS (aaf105cdda2d038c15e5c2c440595d98)] -> xpath: //button[@id='toggle-hp-search']]
2023-05-18 20:05:938 INFO  HomePage :91 - Enter the min salary 20000
2023-05-18 20:05:113 INFO  HomePage :85 - Enter the max salary 40000
2023-05-18 20:05:298 INFO  HomePage :96 - Select the salary type [[ChromeDriver: chrome on WINDOWS (aaf105cdda2d038c15e5c2c440595d98)] -> xpath: //select[@id='salarytype']]
2023-05-18 20:05:504 INFO  HomePage :101 - Select the Job type [[ChromeDriver: chrome on WINDOWS (aaf105cdda2d038c15e5c2c440595d98)] -> xpath: //select[@id='tempperm']]
2023-05-18 20:05:710 INFO  HomePage :106 - Click on find jobs button [[ChromeDriver: chrome on WINDOWS (aaf105cdda2d038c15e5c2c440595d98)] -> xpath: //input[@id='hp-search-btn']]
2023-05-18 20:05:717 INFO  ResultPage :28 - Getting the result Message displayed 
2023-05-18 20:05:52 INFO  HomePage :62 - Enter Job title QA
2023-05-18 20:05:391 INFO  HomePage :68 - Enter the Location Edgware
2023-05-18 20:05:610 INFO  HomePage :74 - Select the distance 2 miles
2023-05-18 20:05:812 INFO  HomePage :79 - Click on more search option link [[ChromeDriver: chrome on WINDOWS (45f48ad69cf7045ffeaf25acce0974dd)] -> xpath: //button[@id='toggle-hp-search']]
2023-05-18 20:05:164 INFO  HomePage :91 - Enter the min salary 30000
2023-05-18 20:05:348 INFO  HomePage :85 - Enter the max salary 50000
2023-05-18 20:05:544 INFO  HomePage :96 - Select the salary type [[ChromeDriver: chrome on WINDOWS (45f48ad69cf7045ffeaf25acce0974dd)] -> xpath: //select[@id='salarytype']]
2023-05-18 20:05:700 INFO  HomePage :101 - Select the Job type [[ChromeDriver: chrome on WINDOWS (45f48ad69cf7045ffeaf25acce0974dd)] -> xpath: //select[@id='tempperm']]
2023-05-18 20:05:928 INFO  HomePage :106 - Click on find jobs button [[ChromeDriver: chrome on WINDOWS (45f48ad69cf7045ffeaf25acce0974dd)] -> xpath: //input[@id='hp-search-btn']]
2023-05-18 20:05:939 INFO  ResultPage :28 - Getting the result Message displayed 
